15:17:10.679569		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
15:17:11.860834		main.cpp       	84	main           	Info:     1 events has been got 
15:17:11.860895		main.cpp       	84	main           	Info:     1 events has been got 
15:17:11.861096		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
15:17:11.861117		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
15:17:11.861123		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
15:17:11.861128		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=105&y=151
15:17:11.861133		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
15:17:11.861137		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
15:17:11.880902		main.cpp       	84	main           	Info:     1 events has been got 
15:17:11.925117		main.cpp       	84	main           	Info:     1 events has been got 
15:17:18.298118		main.cpp       	84	main           	Info:     1 events has been got 
15:17:18.298352		main.cpp       	122	main           	Fatal:    events[6].8193
15:17:46.605237		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
15:17:46.918917		main.cpp       	84	main           	Info:     1 events has been got 
15:17:46.918978		main.cpp       	84	main           	Info:     1 events has been got 
15:17:46.919519		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
15:17:46.919577		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
15:17:46.919593		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
15:17:46.919607		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=115&y=215
15:17:46.919620		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
15:17:46.919634		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
15:17:46.920275		main.cpp       	84	main           	Info:     1 events has been got 
15:17:47.189000		main.cpp       	84	main           	Info:     1 events has been got 
15:18:11.364146		main.cpp       	84	main           	Info:     1 events has been got 
15:18:11.364248		main.cpp       	122	main           	Fatal:    events[6].8193
