14:25:28.296003		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
14:25:28.576459		main.cpp       	80	main           	Info:     1 events has been got 
14:25:28.576534		main.cpp       	80	main           	Info:     1 events has been got 
14:25:28.597202		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:25:28.597234		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:25:28.597240		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:25:28.597245		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=174&y=146
14:25:28.597249		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:25:28.597253		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:25:28.617091		main.cpp       	80	main           	Info:     1 events has been got 
14:25:28.846173		main.cpp       	80	main           	Info:     1 events has been got 
14:25:28.877378		main.cpp       	80	main           	Info:     1 events has been got 
14:25:37.523471		main.cpp       	80	main           	Info:     1 events has been got 
14:25:37.523759		main.cpp       	118	main           	Fatal:    events[6].8193
14:25:40.622287		main.cpp       	80	main           	Info:     1 events has been got 
14:25:40.622519		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:25:40.622551		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:25:40.622559		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:25:40.622566		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=174&y=146
14:25:40.622572		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:25:40.622578		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:25:40.624616		main.cpp       	80	main           	Info:     1 events has been got 
