23:02:07.907250		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
23:02:07.915352		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
23:02:08.709783		main.cpp       	76	main           	Info:     1 events has been got 
23:02:10.433918		main.cpp       	76	main           	Info:     1 events has been got 
23:02:10.577453		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
23:02:10.577471		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
23:02:10.577476		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
23:02:10.577479		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
23:02:10.577484		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
23:02:10.577656		main.cpp       	76	main           	Info:     1 events has been got 
23:02:29.724816		main.cpp       	76	main           	Info:     1 events has been got 
23:02:29.724861		main.cpp       	76	main           	Info:     1 events has been got 
23:02:29.971346		HttpProcessRead	127	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
23:02:29.971373		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
23:02:29.971377		HttpProcessRead	127	parseHead      	Fatal:    unknow headerOrigin: http://120.24.176.229:9527
23:02:29.971381		HttpProcessRead	127	parseHead      	Fatal:    unknow headerContent-Type: application/x-www-form-urlencoded
23:02:29.971387		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
23:02:29.971392		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
23:02:29.971396		HttpProcessRead	127	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
23:02:29.971400		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
23:02:29.971404		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
