13:30:10.630489		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
13:30:25.489282		main.cpp       	80	main           	Info:     1 events has been got 
13:30:25.489379		main.cpp       	80	main           	Info:     1 events has been got 
13:30:25.489720		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
13:30:25.489749		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62
13:30:25.489755		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
13:30:25.489760		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
13:30:25.489764		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
13:30:25.493002		main.cpp       	80	main           	Info:     1 events has been got 
13:30:55.038945		main.cpp       	80	main           	Info:     1 events has been got 
13:30:55.039121		main.cpp       	118	main           	Fatal:    events[6].8193
13:31:16.068035		main.cpp       	80	main           	Info:     1 events has been got 
13:31:16.068083		main.cpp       	80	main           	Info:     1 events has been got 
13:31:16.068108		main.cpp       	118	main           	Fatal:    events[6].8193
13:31:16.079772		main.cpp       	80	main           	Info:     1 events has been got 
13:31:16.079813		main.cpp       	80	main           	Info:     1 events has been got 
13:31:16.079881		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
13:31:16.079889		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62
13:31:16.079894		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
13:31:16.079898		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
13:31:16.079903		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
13:31:16.080207		main.cpp       	80	main           	Info:     1 events has been got 
13:31:41.713414		main.cpp       	80	main           	Info:     1 events has been got 
13:31:41.713482		main.cpp       	80	main           	Info:     1 events has been got 
13:31:41.725885		main.cpp       	80	main           	Info:     1 events has been got 
13:31:41.726020		main.cpp       	80	main           	Info:     1 events has been got 
13:31:41.726169		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
13:31:41.726190		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
13:31:41.726198		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
13:31:41.726203		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
13:31:41.726209		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
13:31:41.727188		main.cpp       	80	main           	Info:     1 events has been got 
13:31:41.736929		main.cpp       	80	main           	Info:     1 events has been got 
13:31:41.737045		main.cpp       	118	main           	Fatal:    events[10].8217
13:31:42.769453		main.cpp       	80	main           	Info:     1 events has been got 
13:31:42.769504		main.cpp       	80	main           	Info:     1 events has been got 
13:31:42.769735		HttpProcessRead	124	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
13:31:42.769759		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
13:31:42.769766		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
13:31:42.769773		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
13:31:42.769778		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
13:31:42.769782		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
13:31:42.770571		main.cpp       	80	main           	Info:     1 events has been got 
13:32:14.766453		main.cpp       	80	main           	Info:     1 events has been got 
13:32:14.766592		main.cpp       	118	main           	Fatal:    events[10].8193
