13:22:08.964762		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
13:22:08.969415		ThreadPool.h   	48	ThreadPool     	Info:     1 thread is created.
13:22:29.925840		main.cpp       	80	main           	Info:     1 events has been got 
13:22:29.925911		main.cpp       	80	main           	Info:     1 events has been got 
13:22:29.926110		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
13:22:29.926133		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62
13:22:29.926140		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
13:22:29.926144		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
13:22:29.926149		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
13:22:29.926348		main.cpp       	80	main           	Info:     1 events has been got 
13:22:29.928334		main.cpp       	80	main           	Info:     1 events has been got 
13:22:36.900049		main.cpp       	80	main           	Info:     1 events has been got 
13:22:36.900211		main.cpp       	118	main           	Fatal:    events[6].8193
13:22:36.907544		main.cpp       	80	main           	Info:     1 events has been got 
13:22:36.907716		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
13:22:36.907757		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62
13:22:36.907764		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
13:22:36.907768		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
13:22:36.907773		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
13:22:36.907865		main.cpp       	80	main           	Info:     1 events has been got 
13:22:36.927418		main.cpp       	80	main           	Info:     1 events has been got 
13:22:46.494886		main.cpp       	80	main           	Info:     1 events has been got 
13:22:46.494958		main.cpp       	118	main           	Fatal:    events[7].8193
