00:16:55.331141		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
00:16:55.333496		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
00:16:57.373739		main.cpp       	76	main           	Info:     1 events has been got 
00:16:57.374039		main.cpp       	76	main           	Info:     1 events has been got 
00:16:57.374584		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36
00:16:57.374599		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
00:16:57.374603		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
00:16:57.374606		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
00:16:57.374608		HttpProcessRead	131	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
00:16:57.374611		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
00:16:57.374751		main.cpp       	76	main           	Info:     1 events has been got 
00:16:58.556701		main.cpp       	76	main           	Info:     1 events has been got 
00:16:58.564110		main.cpp       	76	main           	Info:     1 events has been got 
00:16:58.564252		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36
00:16:58.564262		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept: image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
00:16:58.564266		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
00:16:58.564270		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
00:16:58.564274		HttpProcessRead	131	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
00:16:58.564347		main.cpp       	76	main           	Info:     1 events has been got 
00:17:14.819611		main.cpp       	76	main           	Info:     -1 events has been got 
00:17:18.760823		main.cpp       	76	main           	Info:     1 events has been got 
00:17:18.760903		main.cpp       	76	main           	Info:     1 events has been got 
00:17:31.420698		main.cpp       	76	main           	Info:     1 events has been got 
00:17:31.420763		main.cpp       	76	main           	Info:     1 events has been got 
00:17:31.420836		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36
00:17:31.420843		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
00:17:31.420847		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
00:17:31.420851		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
00:17:31.420855		HttpProcessRead	131	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
00:17:31.420859		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
00:17:31.420965		main.cpp       	76	main           	Info:     1 events has been got 
00:17:32.588859		main.cpp       	76	main           	Info:     1 events has been got 
00:17:32.589249		main.cpp       	76	main           	Info:     1 events has been got 
00:17:32.589345		main.cpp       	76	main           	Info:     1 events has been got 
