09:53:41.493155		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
09:53:41.494009		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
09:53:59.776107		main.cpp       	76	main           	Info:     1 events has been got 
09:53:59.778540		main.cpp       	76	main           	Info:     1 events has been got 
09:53:59.888657		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
09:53:59.888679		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
09:53:59.888684		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
09:53:59.888688		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
09:53:59.888691		HttpProcessRead	127	parseHead      	Fatal:    unknow headerPurpose: prefetch
09:53:59.888716		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
09:53:59.888840		main.cpp       	76	main           	Info:     1 events has been got 
09:54:01.132610		main.cpp       	76	main           	Info:     1 events has been got 
09:54:01.133596		main.cpp       	76	main           	Info:     1 events has been got 
09:54:01.322417		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
09:54:01.322452		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
09:54:01.322456		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
09:54:01.322460		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
09:54:01.322463		HttpProcessRead	127	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
09:54:01.322616		main.cpp       	76	main           	Info:     1 events has been got 
