10:47:41.844468		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
10:47:41.845283		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
10:47:44.231178		main.cpp       	76	main           	Info:     1 events has been got 
10:47:44.231228		main.cpp       	76	main           	Info:     1 events has been got 
10:47:44.342717		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
10:47:44.342728		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
10:47:44.342731		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
10:47:44.342734		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
10:47:44.342737		HttpProcessRead	127	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
10:47:44.342739		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
10:47:49.470347		main.cpp       	76	main           	Info:     -1 events has been got 
10:47:49.471177		main.cpp       	76	main           	Info:     1 events has been got 
