14:29:41.866627		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
14:29:42.699144		main.cpp       	80	main           	Info:     1 events has been got 
14:29:42.699189		main.cpp       	80	main           	Info:     1 events has been got 
14:29:42.699361		HttpProcessRead	124	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
14:29:42.699369		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:29:42.699374		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:29:42.699379		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:29:42.699383		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=174&y=146
14:29:42.699387		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:29:42.699391		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:29:42.710016		main.cpp       	80	main           	Info:     2 events has been got 
14:29:50.814294		main.cpp       	80	main           	Info:     1 events has been got 
14:29:50.814532		main.cpp       	118	main           	Fatal:    events[6].8193
14:29:52.729922		main.cpp       	80	main           	Info:     1 events has been got 
14:29:52.730137		HttpProcessRead	124	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
14:29:52.730154		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:29:52.730161		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:29:52.730167		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:29:52.730172		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=174&y=146
14:29:52.730176		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:29:52.730181		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:29:52.732145		main.cpp       	80	main           	Info:     1 events has been got 
14:29:52.753452		main.cpp       	80	main           	Info:     1 events has been got 
14:29:59.523587		main.cpp       	80	main           	Info:     1 events has been got 
14:29:59.523682		main.cpp       	118	main           	Fatal:    events[8].8193
14:30:02.432816		main.cpp       	80	main           	Info:     1 events has been got 
14:30:02.432977		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:30:02.432987		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:30:02.432992		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:30:02.432996		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=174&y=146
14:30:02.433001		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:30:02.433004		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:30:02.443822		main.cpp       	80	main           	Info:     2 events has been got 
14:30:05.853749		main.cpp       	80	main           	Info:     1 events has been got 
14:30:05.853827		main.cpp       	118	main           	Fatal:    events[9].8193
