14:22:07.324467		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
14:22:14.730716		main.cpp       	80	main           	Info:     1 events has been got 
14:22:14.730788		main.cpp       	80	main           	Info:     1 events has been got 
14:22:14.730994		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:22:14.731016		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:22:14.731022		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:22:14.731027		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=174&y=146
14:22:14.731031		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:22:14.731035		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:22:14.731706		main.cpp       	80	main           	Info:     1 events has been got 
14:23:56.553359		main.cpp       	80	main           	Info:     -1 events has been got 
14:24:00.267794		main.cpp       	80	main           	Info:     1 events has been got 
14:24:00.267880		main.cpp       	80	main           	Info:     1 events has been got 
14:24:00.267966		main.cpp       	118	main           	Fatal:    events[8].8193
14:24:07.386530		main.cpp       	80	main           	Info:     1 events has been got 
14:24:07.386711		main.cpp       	118	main           	Fatal:    events[6].8193
14:24:11.740926		main.cpp       	80	main           	Info:     1 events has been got 
14:24:11.741014		main.cpp       	80	main           	Info:     1 events has been got 
14:24:11.741107		main.cpp       	118	main           	Fatal:    events[6].8193
14:24:11.755804		main.cpp       	80	main           	Info:     1 events has been got 
14:24:11.755866		main.cpp       	80	main           	Info:     1 events has been got 
14:24:11.759734		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:24:11.759754		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:24:11.759761		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:24:11.759765		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=190&y=226
14:24:11.759769		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:24:11.759773		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:24:11.769014		main.cpp       	80	main           	Info:     1 events has been got 
