16:26:05.737496		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
16:26:05.740273		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
16:26:14.747339		main.cpp       	76	main           	Info:     1 events has been got 
16:26:14.754947		main.cpp       	76	main           	Info:     1 events has been got 
16:26:14.814251		main.cpp       	76	main           	Info:     1 events has been got 
16:26:14.814669		main.cpp       	76	main           	Info:     1 events has been got 
16:26:14.937408		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
16:26:14.937425		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
16:26:14.937432		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1
16:26:14.937435		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: en-us
16:26:14.937439		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
16:26:14.937593		main.cpp       	76	main           	Info:     1 events has been got 
16:26:30.479363		main.cpp       	76	main           	Info:     1 events has been got 
16:26:30.721584		HttpProcessRead	127	parseHead      	Fatal:    unknow headerOrigin: http://120.24.176.229:9527
16:26:30.721596		HttpProcessRead	127	parseHead      	Fatal:    unknow headerContent-Type: application/x-www-form-urlencoded
16:26:30.721599		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
16:26:30.721603		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
16:26:30.721606		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
