12:35:23.297498		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
12:35:23.303540		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
12:35:32.633735		main.cpp       	76	main           	Info:     1 events has been got 
12:35:32.652643		main.cpp       	76	main           	Info:     2 events has been got 
12:35:32.782600		HttpProcessRead	127	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
12:35:32.782611		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
12:35:32.782614		HttpProcessRead	127	parseHead      	Fatal:    unknow headerOrigin: http://120.24.176.229:9527
12:35:32.782616		HttpProcessRead	127	parseHead      	Fatal:    unknow headerContent-Type: application/x-www-form-urlencoded
12:35:32.782620		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
12:35:32.782623		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
12:35:32.782626		HttpProcessRead	127	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
12:35:32.782628		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
12:35:32.782631		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
12:35:35.143821		main.cpp       	76	main           	Info:     -1 events has been got 
12:35:35.144073		main.cpp       	76	main           	Info:     1 events has been got 
