23:00:02.870572		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
23:00:02.872473		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
23:00:03.357737		main.cpp       	76	main           	Info:     1 events has been got 
23:00:03.357782		main.cpp       	76	main           	Info:     1 events has been got 
23:00:03.588858		main.cpp       	76	main           	Info:     1 events has been got 
23:00:03.617376		main.cpp       	76	main           	Info:     1 events has been got 
23:00:03.686056		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
23:00:03.686072		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
23:00:03.686077		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
23:00:03.686079		HttpProcessRead	127	parseHead      	Fatal:    unknow headerPurpose: prefetch
23:00:03.686082		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
23:00:03.686085		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
23:00:03.692796		main.cpp       	76	main           	Info:     1 events has been got 
23:00:07.336636		main.cpp       	76	main           	Info:     1 events has been got 
23:00:07.667171		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
23:00:07.667212		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
23:00:07.667218		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
23:00:07.667223		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
