14:00:50.675447		ThreadPool.h   	48	ThreadPool     	Info:     0 thread is created.
14:00:51.731793		main.cpp       	80	main           	Info:     1 events has been got 
14:00:51.731862		main.cpp       	80	main           	Info:     1 events has been got 
14:00:51.731987		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
14:00:51.731994		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:00:51.731999		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
14:00:51.732003		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=262&y=175
14:00:51.732007		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:00:51.732011		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:00:51.753251		main.cpp       	80	main           	Info:     1 events has been got 
14:00:55.823832		main.cpp       	80	main           	Info:     1 events has been got 
14:00:55.823880		main.cpp       	80	main           	Info:     1 events has been got 
14:00:55.824007		HttpProcessRead	124	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36
14:00:55.824030		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept: image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
14:00:55.824035		HttpProcessRead	124	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/?x=222&y=243
14:00:55.824039		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
14:00:55.824043		HttpProcessRead	124	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9
14:00:55.824618		main.cpp       	80	main           	Info:     1 events has been got 
14:00:55.838608		main.cpp       	80	main           	Info:     1 events has been got 
14:00:55.838691		main.cpp       	118	main           	Fatal:    events[8].8193
