00:26:56.785476		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
00:26:56.790862		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
00:26:58.693075		main.cpp       	76	main           	Info:     1 events has been got 
00:26:58.693601		main.cpp       	76	main           	Info:     2 events has been got 
00:26:58.693816		HttpProcessRead	127	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
00:26:58.693838		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
00:26:58.693846		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
00:26:58.693851		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
00:26:58.693855		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
00:26:58.693859		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
00:27:01.147437		main.cpp       	76	main           	Info:     -1 events has been got 
