00:36:50.619451		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
00:36:50.622171		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
00:36:53.431531		main.cpp       	76	main           	Info:     1 events has been got 
00:36:53.437568		main.cpp       	76	main           	Info:     1 events has been got 
00:36:53.437938		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69
00:36:53.437956		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
00:36:53.437960		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
00:36:53.437965		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
00:36:53.437969		HttpProcessRead	131	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
00:36:53.437973		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
00:36:53.438095		main.cpp       	76	main           	Info:     1 events has been got 
00:36:54.579224		main.cpp       	76	main           	Info:     1 events has been got 
00:36:54.582274		main.cpp       	76	main           	Info:     1 events has been got 
00:36:54.582457		HttpProcessRead	131	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69
00:36:54.582485		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept: image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
00:36:54.582488		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
00:36:54.582492		HttpProcessRead	131	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
00:36:54.582497		HttpProcessRead	131	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
00:36:54.582590		main.cpp       	76	main           	Info:     1 events has been got 
