10:37:38.425869		ThreadPool.h   	52	ThreadPool     	Info:     0 thread is created.
10:37:38.428006		ThreadPool.h   	52	ThreadPool     	Info:     1 thread is created.
10:37:39.447488		main.cpp       	76	main           	Info:     1 events has been got 
10:37:39.447580		main.cpp       	76	main           	Info:     1 events has been got 
10:37:39.448429		main.cpp       	76	main           	Info:     1 events has been got 
10:37:39.566308		HttpProcessRead	127	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
10:37:39.566319		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
10:37:39.566322		HttpProcessRead	127	parseHead      	Fatal:    unknow headerOrigin: http://120.24.176.229:9527
10:37:39.566325		HttpProcessRead	127	parseHead      	Fatal:    unknow headerContent-Type: application/x-www-form-urlencoded
10:37:39.566328		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
10:37:39.566332		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
10:37:39.566334		HttpProcessRead	127	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
10:37:39.566337		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
10:37:39.566340		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
10:37:39.566452		main.cpp       	76	main           	Info:     1 events has been got 
10:38:31.101357		main.cpp       	76	main           	Info:     1 events has been got 
10:38:31.202275		main.cpp       	76	main           	Info:     1 events has been got 
10:38:31.320069		HttpProcessRead	127	parseHead      	Fatal:    unknow headerCache-Control: max-age=0
10:38:31.320089		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUpgrade-Insecure-Requests: 1
10:38:31.320093		HttpProcessRead	127	parseHead      	Fatal:    unknow headerOrigin: http://120.24.176.229:9527
10:38:31.320097		HttpProcessRead	127	parseHead      	Fatal:    unknow headerContent-Type: application/x-www-form-urlencoded
10:38:31.320102		HttpProcessRead	127	parseHead      	Fatal:    unknow headerUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76
10:38:31.320107		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
10:38:31.320110		HttpProcessRead	127	parseHead      	Fatal:    unknow headerReferer: http://120.24.176.229:9527/
10:38:31.320114		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Encoding: gzip, deflate
10:38:31.320118		HttpProcessRead	127	parseHead      	Fatal:    unknow headerAccept-Language: zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6
10:38:31.320204		main.cpp       	76	main           	Info:     1 events has been got 
